case_num,date_filed,status,num_employees,location,nlrb_region,case_url,charged_party
10-CA-272134,02/02/2021,Open,150,"Charlotte, NC","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272134,United Parcel Service
04-CA-272133,02/02/2021,Open,2000,"Philadelphia, PA","Region 04, Philadelphia, Pennsylvania",https://www.nlrb.gov/case/04-CA-272133,United States Postal Service-Philadelphia Lindbergh P & DC
08-CA-272024,02/01/2021,Open,70,"Cleveland, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-272024,"AJ Candlewood Park OPCO, LLC d/b/a Candlewood Healthcare and Rehabilitation"
04-CB-272012,02/01/2021,Open,20,"Philadelphia, PA","Region 04, Philadelphia, Pennsylvania",https://www.nlrb.gov/case/04-CB-272012,OPEIU Local 32 (1199C)
19-CB-272030,02/01/2021,Open,1,"Gresham, OR","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CB-272030,IBEW Local 48
31-CA-272047,02/01/2021,Open,2,"Goleta, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-272047,United States Postal Service
08-CA-272026,02/01/2021,Open,20,"Parma, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-272026,Northeast Ohio Practitioners LLC
18-CA-272048,02/01/2021,Open,750,"Fridley, MN","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-272048,Allina Mercy Medical Center
22-CA-272055,02/01/2021,Open,500,"Kearny, NJ","Region 22, Newark, New Jersey",https://www.nlrb.gov/case/22-CA-272055,United States Postal Service
06-CB-272028,02/01/2021,Open,80,"Somerset, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CB-272028,AFSCME District Council 83 (Siemon's Lakeview Manor)
31-CA-272060,02/01/2021,Open,6000,"Lawndale, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-272060,United States Postal Service
12-CA-272007,02/01/2021,Open,200,"Catano, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-272007,United States Postal Service
04-CA-272035,02/01/2021,Open,30,"Camden, NJ","Region 04, Philadelphia, Pennsylvania",https://www.nlrb.gov/case/04-CA-272035,"Amerinox Processing, Inc."
16-CA-272054,02/01/2021,Open,111,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272054,"Jones, Granger, Tramuto & Halstead, Attorneys at Law and Granger Life Insurance Plans"
32-CA-272059,02/01/2021,Open,15,"San Jose, CA","Region 32, Oakland, California",https://www.nlrb.gov/case/32-CA-272059,"Maniglia Landscape, Inc."
20-CA-272062,02/01/2021,Open,430,"Waimea, HI","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CA-272062,"Fairmont Orchid, Hawaii"
10-CA-272037,02/01/2021,Open,120,"Gadsden, AL","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272037,United States Postal Service
16-CA-272046,02/01/2021,Open,15,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272046,"Machinists Custom Choices Worksite Benefits, EBS, Inc."
02-CA-272063,02/01/2021,Open,10,"New York, NY","Region 02, New York, New York",https://www.nlrb.gov/case/02-CA-272063,Tip Top Kids
15-CB-272065,02/01/2021,Open,500,"Pascagoula, MS","Region 15, New Orleans, Louisiana",https://www.nlrb.gov/case/15-CB-272065,"International Brotherhood of Electrical Workers, Local 733 (Ingalls Shipbuilding, a Division of Huntington Ingalls Industries)"
29-CB-272068,02/01/2021,Open,50,"Farmingdale, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272068,UFCW Local 2013
25-CA-272069,02/01/2021,Open,150,"Auburn, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272069,Walmart Distribution Center
29-CB-272064,02/01/2021,Open,50,"Farmingdale, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272064,UFCW Local 2013
18-CA-272071,02/01/2021,Open,100,"Ottumwa, IA","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-272071,Career Systems Development/Ottumwa Job Corps
01-CA-272076,02/01/2021,Open,65,"Portland, ME","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272076,PORTLAND MUSEUM OF ART
29-CB-272078,02/01/2021,Open,50,"Farmingdale, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272078,"UFCW Local 2013, (Orlandi Inc.)"
15-CB-272081,02/01/2021,Open,100,"Opelousas, LA","Region 15, New Orleans, Louisiana",https://www.nlrb.gov/case/15-CB-272081,Teamsters Local 270 (United Parcel Service)
01-CA-272079,02/01/2021,Open,22,"Norwalk, CT","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272079,Frontier Communications d/b/a Frontier Telecommunications Company of West Virginia
31-CB-272084,02/01/2021,Open,2,"Lawndale, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CB-272084,American Postal Workers Union (United States Postal Service)
19-CA-272088,02/01/2021,Open,50,"Seattle, WA","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CA-272088,Loomis USA
10-CA-272074,02/01/2021,Closed,800,"La Vergne, TN","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272074,Bridgestone Firestone
18-CA-272086,02/01/2021,Open,250,"Kewaunee, WI","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-272086,Kewaunee Fabrications LLC
21-CA-272090,02/01/2021,Open,500,"San Diego, CA","Region 21, Los Angeles, California",https://www.nlrb.gov/case/21-CA-272090,United States Postal Service
01-CA-272092,02/01/2021,Open,65,"Portland, ME","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272092,PORTLAND MUSEUM OF ART
29-CB-272093,02/01/2021,Open,50,"Farmingdale, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272093,UFCW Local 2013
10-CA-272094,02/01/2021,Open,200,"Atlanta, GA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272094,Early Childhood Development Corporation / YMCA
10-CB-272050,02/01/2021,Open,100,"Macon, GA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CB-272050,National Association of Letter Carriers (United States Postal Service)
18-CA-272095,02/01/2021,Open,5000,"Minneapolis, MN","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-272095,Abbott Northwestern Hospital
16-CA-272105,02/01/2021,Open,30,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272105,"International Association of Machinists and Aerospace Workers, District 75"
19-CA-272100,02/01/2021,Open,66,"Monroe, WA","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CA-272100,"Grady Excavating, Inc."
10-CA-272103,02/01/2021,Open,100,"Atlanta, GA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272103,United Parcel Service
08-CA-272101,02/01/2021,Open,700,"Cleveland, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-272101,"University Hospitals Cleveland Medical Center, a subsidiary of University Hospitals Health System, Inc."
16-CA-272122,02/01/2021,Open,398,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272122,International Association of Machinists and Aerospace Workers Grand Lodge
16-CA-272124,02/01/2021,Open,30,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272124,"International Association of Machinists and Aerospace Workers, District 75"
31-CA-272106,02/01/2021,Open,5000,"Los Angeles, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-272106,United States Postal Service
05-CA-272116,02/01/2021,Open,20,"Washington, DC","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-272116,Dupont Clinic
16-CA-272117,02/01/2021,Open,15,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272117,"Machinists Custom Choices Worksite Benefits, EBS, Inc."
16-CA-272108,02/01/2021,Open,398,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272108,"International Association of Machinists and Aerospace Workers, Grand Lodge"
15-CA-272104,02/01/2021,Open,500,"Mobile, AL","Region 15, New Orleans, Louisiana",https://www.nlrb.gov/case/15-CA-272104,APM Terminals
25-CA-272113,02/01/2021,Open,42,"Fort Wayne, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272113,United States Postal Service
25-CB-272115,02/01/2021,Open,1,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272115,APWU (United States Postal Service)
25-CA-272123,02/01/2021,Open,42,"Fort Wayne, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272123,United States Postal Service
08-CB-272022,02/01/2021,Closed,100,"Findlay, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CB-272022,United Steelworkers Local 207L (Cooper Tire & Rubber Company)
16-CA-272129,02/01/2021,Open,111,"Houston, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272129,"Jones, Granger, Tramuto, & Halstead Attorneys at Law and Granger Life Insurance Plans"
31-CA-272131,02/01/2021,Open,5000,"Compton, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-272131,"Food 4 Less of California, Inc."
06-CB-272013,01/31/2021,Open,20,"Pittsburgh, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CB-272013,International Brotherhood of Teamsters-Local 205 (Green Tree Borough Police Department)
25-CA-272066,01/31/2021,Open,100,"Carmel, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272066,Menard Inc.
25-CB-272053,01/30/2021,Open,25,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272053,APWU Local 130 (United States Postal Service)
06-CA-272017,01/30/2021,Open,20,"Waterford, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CA-272017,"Ray Showman Jr. Excavating, Inc."
32-CA-271989,01/29/2021,Open,100,"San Jose, CA","Region 32, Oakland, California",https://www.nlrb.gov/case/32-CA-271989,"GreenWaste Recovery, Inc."
03-CA-271972,01/29/2021,Open,50,"Buffalo, NY","Region 03, Buffalo, New York",https://www.nlrb.gov/case/03-CA-271972,"Gimme Coffee, Inc."
29-CA-271976,01/29/2021,Open,400,"East Moriches, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CA-271976,Tates Bake Shop Inc
32-CA-272057,01/29/2021,Open,50,"Lemoore, CA","Region 32, Oakland, California",https://www.nlrb.gov/case/32-CA-272057,"Delaware Research Group of Oklahoma, LLC (DRG)"
16-CA-272001,01/29/2021,Open,900,"GREENVILLE, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-272001,"L3 HARRIS TECHNOLOGIES, INC."
25-CB-272042,01/29/2021,Open,25,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272042,APWU Local 130 (United States Postal Service)
05-CB-272039,01/29/2021,Open,50,"Pikesville, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CB-272039,"Union of Patriots Plaza (American Security Programs, Inc.)"
19-CB-271999,01/29/2021,Closed,1,"Salem, OR","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CB-271999,Association of Engineering Employees of Oregon (Oregon Parks and Recreation Department)
06-CA-271987,01/29/2021,Open,6,"Claysburg, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CA-271987,United States Postal Service
20-CA-271990,01/29/2021,Open,300,"Honolulu, HI","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CA-271990,Hawai’i Pacific Health d/b/a Kapi’olani Medical Center
29-CB-272031,01/29/2021,Open,1000,"Brooklyn, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272031,APWU
06-CA-271991,01/29/2021,Open,240,"Friendly, WV","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CA-271991,Momentive Performance Materials
10-CB-272023,01/29/2021,Open,1,"Lithonia, GA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CB-272023,National Rural Letter Carriers Association (United States Postal Service)
25-CB-272033,01/29/2021,Open,25,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272033,APWU Local 130 (United States Postal Service)
18-CA-271997,01/29/2021,Open,10,"Ironwood, MI","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-271997,Aspirus Ironwood Hospital
25-CB-272038,01/29/2021,Open,25,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272038,APWU Local 130 (United States Postal Service)
19-CA-272002,01/29/2021,Open,470,"Hillsboro, OR","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CA-272002,Tuality Healthcare
29-CB-272019,01/29/2021,Open,500,"Brooklyn, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-272019,Local Union 804 (United Parcel Service Inc.)
01-CA-272015,01/29/2021,Open,3900,"Hyannis, MA","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272015,Cape Cod Health Care
05-CB-272044,01/29/2021,Open,50,"Washington, DC","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CB-272044,"United Government Security Officers of America (Paragon Systems, Inc.)"
20-CB-272036,01/29/2021,Open,300000,"West Sacramento, CA","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CB-272036,Teamsters Local 150 (United Parcel Service)
12-CA-272016,01/29/2021,Open,9,"Ceiba, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-272016,United States Postal Service
19-CA-272021,01/29/2021,Closed,133,"Seattle, WA","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CA-272021,Republic Services
29-CA-271998,01/29/2021,Open,10,"Brooklyn, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CA-271998,"E&G Plastics, Incorporated"
10-CA-272045,01/29/2021,Open,137,"Lithonia, GA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272045,United States Postal Service
29-CA-271978,01/29/2021,Open,400,"East Moriches, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CA-271978,Tates Bake Shop Inc
05-CB-272052,01/29/2021,Open,50,"Pikesville, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CB-272052,"Union of Patriots Plaza (American Security Programs, Inc.)"
25-CB-272049,01/29/2021,Open,25,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CB-272049,APWU Local 130 (United States Postal Service)
01-CB-271996,01/29/2021,Open,300,"Boston, MA","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CB-271996,International Brotherhood of Teamsters Local 25
02-CA-272041,01/29/2021,Open,23,"New York, NY","Region 02, New York, New York",https://www.nlrb.gov/case/02-CA-272041,"GJM OPCO, LLC d/b/a Jaguar Manhattan Land Rover Manhattan"
01-CA-272005,01/29/2021,Open,73,"Chicopee, MA","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272005,Phoenix Management Inc. (PMI)
20-CB-272051,01/29/2021,Open,300000,"Concord, CA","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CB-272051,Teamsters Local 315 (United Parcel Service)
29-CA-271985,01/29/2021,Open,400,"East Moriches, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CA-271985,Tates Bake Shop Inc
29-CB-271994,01/29/2021,Open,42,"Flushing, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CB-271994,IBEW Local 3 (Safeway Fire and Protection Co.)
12-CA-271988,01/29/2021,Open,300,"West Palm Beach, FL","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-271988,Sysco Southeast Florida
12-CA-272020,01/29/2021,Open,300,"Cataño, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-272020,United States Postal Service
09-CA-272072,01/29/2021,Open,480,"Frankfort, KY","Region 09, Cincinnati, Ohio",https://www.nlrb.gov/case/09-CA-272072,BUFFALO TRACE DISTILLERY
01-CA-271983,01/29/2021,Open,28,"Woonsocket, RI","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-271983,"Stericycle, Inc. (Woonsocket)"
25-CA-272077,01/29/2021,Open,1,"Oakland City, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272077,Securitas
28-CA-272000,01/29/2021,Open,10,"Phoenix, AZ","Region 28, Phoenix, Arizona",https://www.nlrb.gov/case/28-CA-272000,Crumbl Cookies
10-CA-272132,01/29/2021,Open,120,"Gadsden, AL","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272132,United States Postal Service
10-CA-272029,01/28/2021,Open,120,"Leeds, AL","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272029,Lehigh Cement Company
13-CA-271955,01/28/2021,Open,30,"Chicago, IL","Region 13, Chicago, Illinois",https://www.nlrb.gov/case/13-CA-271955,"Oxford Hotels and Resorts, LLC d/b/a Hotel Cass"
13-CB-271974,01/28/2021,Open,25,"Chicago, IL","Region 13, Chicago, Illinois",https://www.nlrb.gov/case/13-CB-271974,AMERICAN POSTAL WORKER UNION
31-CA-271992,01/28/2021,Open,2,"Sun Valley, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-271992,Pacifica Hospital of the Valley
05-CA-271897,01/28/2021,Open,90,"Columbia, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271897,Ecology Services
12-CA-271967,01/28/2021,Open,50,"St. Thomas, VI","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-271967,"Kazi Foods of the Virgin Islands, Inc., d/b/a KFC"
32-CA-271995,01/28/2021,Open,50,"Oakland, CA","Region 32, Oakland, California",https://www.nlrb.gov/case/32-CA-271995,California College of the Arts
20-CA-271946,01/28/2021,Open,20,"San Francisco, CA","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CA-271946,Urbana
13-CA-271924,01/28/2021,Open,500,"Itasca, IL","Region 13, Chicago, Illinois",https://www.nlrb.gov/case/13-CA-271924,American Drug Stores Inc. d/b/a Osco Drug
12-CA-271936,01/28/2021,Open,800,"Jacksonville, FL","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-271936,"United States Postal Service, Jacksonville Network Distribution"
29-CA-272009,01/28/2021,Open,52,"Westbury, NY","Region 29, Brooklyn, New York",https://www.nlrb.gov/case/29-CA-272009,Meadow Carting Corporation
10-CA-271904,01/28/2021,Open,2000,"Spartanburg, SC","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-271904,United Parcel Service
07-CA-271951,01/28/2021,Open,2,"Detroit, MI","Region 07, Detroit, Michigan",https://www.nlrb.gov/case/07-CA-271951,"Detroit District, Area Local 295, American Postal Workers Union (APWU), AFL-CIO"
21-CA-271971,01/28/2021,Open,500,"Downey, CA","Region 21, Los Angeles, California",https://www.nlrb.gov/case/21-CA-271971,"Kaiser Foundation Health Plan, Kaiser Foundation Hospital"
07-CB-271954,01/28/2021,Open,100,"Warren, MI","Region 07, Detroit, Michigan",https://www.nlrb.gov/case/07-CB-271954,Local 400 (Bridgewater Interiors Warren)
25-CA-271968,01/28/2021,Open,64,"Butler, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-271968,CJ Automotive Industries Indiana Inc
05-CA-271959,01/28/2021,Open,12,"Washington, DC","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271959,"Paragon Systems, Inc."
28-CA-271938,01/28/2021,Open,500,"North Las Vegas, NV","Region 28, Phoenix, Arizona",https://www.nlrb.gov/case/28-CA-271938,Chrysalis of Nevada
18-CA-271970,01/28/2021,Open,350,"Burlington, WI","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-271970,Ardagh Glass Inc.
02-CA-271937,01/28/2021,Open,100,"New York, NY","Region 02, New York, New York",https://www.nlrb.gov/case/02-CA-271937,Michael Cetta Inc. d/b/a Sparks Steak House
28-CA-271943,01/28/2021,Open,75,"Casa Grande, AZ","Region 28, Phoenix, Arizona",https://www.nlrb.gov/case/28-CA-271943,Sun Life Family Health Center
05-CA-271899,01/28/2021,Open,90,"Columbia, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271899,Ecology Services
31-CA-272043,01/28/2021,Open,80,"Glendale, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CA-272043,United States Postal Service
16-CA-271934,01/28/2021,Open,100,"Harlingen, TX","Region 16, Fort Worth, Texas",https://www.nlrb.gov/case/16-CA-271934,"United Launch Alliance, LLC"
05-CA-271986,01/28/2021,Open,90,"Columbia, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271986,Ecology Services
05-CA-271947,01/28/2021,Open,14,"Manassas, VA","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271947,Better Granite Garcia
18-CA-271929,01/28/2021,Open,5,"Minneapolis, MN","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-271929,Marsden Building Maintenance
01-CA-271923,01/28/2021,Open,2300,"Boston, MA","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-271923,UNITED STATES POSTAL SERVICE
22-CA-271930,01/28/2021,Open,50,"North Bergen, NJ","Region 22, Newark, New Jersey",https://www.nlrb.gov/case/22-CA-271930,Aramark Corporation
08-CA-271916,01/28/2021,Open,60,"Fremont, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-271916,United Parcel Service
05-CA-271922,01/28/2021,Open,90,"Columbia, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271922,Ecology Services
19-CA-271982,01/28/2021,Open,224,"Kent, WA","Region 19, Seattle, Washington",https://www.nlrb.gov/case/19-CA-271982,MV Transportation
05-CA-271901,01/28/2021,Open,90,"Columbia, MD","Region 05, Baltimore, Maryland",https://www.nlrb.gov/case/05-CA-271901,Ecology Services
10-CB-271905,01/28/2021,Open,2000,"Spartanburg, SC","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CB-271905,Teamsters Local 509 (United Parcel Service)
08-CB-271917,01/28/2021,Open,60,"Fremont, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CB-271917,"Teamsters Local Union No. 20, affiliated with the International Brotherhood of Teamsters (United Parcel Service)"
20-CA-272056,01/28/2021,Open,25,"San Leandro, CA","Region 20, San Francisco, California",https://www.nlrb.gov/case/20-CA-272056,"Stealth Solutions Protection Agency, Inc., National Pro Cleaning System, Five Star Cleaning System"
18-CA-271973,01/28/2021,Open,350,"Burlington, WI","Region 18, Minneapolis, Minnesota",https://www.nlrb.gov/case/18-CA-271973,Ardagh Glass Inc.
04-CA-271953,01/28/2021,Open,500,"Coatesville, PA","Region 04, Philadelphia, Pennsylvania",https://www.nlrb.gov/case/04-CA-271953,Cleveland Cliffs
12-CA-271960,01/28/2021,Open,200,"Catano, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-271960,United States Postal Service
